window_idx,equipment_id,operating_mode,batch,anomaly_type,label
4645,EQ-005,normal,v1,bearing_degradation,1
1776,EQ-002,normal,v1,normal,0
1350,EQ-002,normal,v1,normal,0
4500,EQ-005,normal,v1,normal,0
943,EQ-001,normal,v1,normal,0
588,EQ-001,normal,v1,normal,0
4868,EQ-005,normal,v1,normal,0
2188,EQ-003,normal,v1,normal,0
2341,EQ-003,normal,v1,normal,0
3738,EQ-004,normal,v1,normal,0
903,EQ-001,normal,v1,bearing_degradation,1
739,EQ-001,normal,v1,normal,0
3115,EQ-004,normal,v1,normal,0
3579,EQ-004,normal,v1,normal,0
3758,EQ-004,normal,v1,normal,0
2376,EQ-003,normal,v1,normal,0
2109,EQ-003,normal,v1,normal,0
402,EQ-001,normal,v1,sensor_malfunction,1
1525,EQ-002,normal,v1,normal,0
3928,EQ-005,cooldown,v1,normal,0
340,EQ-001,normal,v1,normal,0
570,EQ-001,normal,v1,normal,0
4284,EQ-005,normal,v1,normal,0
3933,EQ-005,high_load,v1,normal,0
501,EQ-001,normal,v1,bearing_degradation,1
4264,EQ-005,normal,v1,normal,0
1107,EQ-002,normal,v1,normal,0
573,EQ-001,normal,v1,normal,0
2559,EQ-003,normal,v1,normal,0
3659,EQ-004,normal,v1,normal,0
679,EQ-001,normal,v1,normal,0
3634,EQ-004,normal,v1,normal,0
342,EQ-001,normal,v1,normal,0
2869,EQ-003,normal,v1,normal,0
1274,EQ-002,normal,v1,normal,0
4297,EQ-005,normal,v1,normal,0
1848,EQ-002,normal,v1,normal,0
2936,EQ-003,normal,v1,normal,0
655,EQ-001,normal,v1,normal,0
2639,EQ-003,normal,v1,normal,0
450,EQ-001,normal,v1,bearing_degradation,1
1707,EQ-002,normal,v1,normal,0
4285,EQ-005,normal,v1,normal,0
4386,EQ-005,normal,v1,normal,0
166,EQ-001,normal,v1,normal,0
4228,EQ-005,normal,v1,normal,0
1717,EQ-002,normal,v1,bearing_degradation,1
2815,EQ-003,normal,v1,normal,0
4834,EQ-005,normal,v1,normal,0
161,EQ-001,normal,v1,normal,0
3942,EQ-005,high_load,v1,normal,0
3520,EQ-004,normal,v1,normal,0
676,EQ-001,normal,v1,normal,0
1845,EQ-002,normal,v1,normal,0
3336,EQ-004,normal,v1,normal,0
2547,EQ-003,normal,v1,normal,0
2084,EQ-003,normal,v1,normal,0
1097,EQ-002,normal,v1,thermal_runaway,1
3829,EQ-004,normal,v1,normal,0
3441,EQ-004,normal,v1,sensor_malfunction,1
377,EQ-001,normal,v1,normal,0
4859,EQ-005,normal,v1,normal,0
650,EQ-001,normal,v1,sensor_malfunction,1
4489,EQ-005,normal,v1,normal,0
3510,EQ-004,normal,v1,normal,0
3125,EQ-004,normal,v1,normal,0
2581,EQ-003,normal,v1,thermal_runaway,1
189,EQ-001,normal,v1,normal,0
1264,EQ-002,normal,v1,normal,0
2567,EQ-003,normal,v1,sensor_malfunction,1
2978,EQ-004,high_load,v1,sensor_malfunction,1
945,EQ-001,normal,v1,normal,0
195,EQ-001,normal,v1,normal,0
3045,EQ-004,high_load,v1,normal,0
4403,EQ-005,normal,v1,normal,0
2863,EQ-003,normal,v1,normal,0
2121,EQ-003,normal,v1,normal,0
3457,EQ-004,normal,v1,normal,0
1415,EQ-002,normal,v1,normal,0
2575,EQ-003,normal,v1,thermal_runaway,1
3755,EQ-004,normal,v1,normal,0
2505,EQ-003,normal,v1,thermal_runaway,1
681,EQ-001,normal,v1,normal,0
3343,EQ-004,normal,v1,normal,0
617,EQ-001,normal,v1,normal,0
2202,EQ-003,normal,v1,normal,0
1840,EQ-002,normal,v1,normal,0
1623,EQ-002,normal,v1,normal,0
366,EQ-001,normal,v1,normal,0
1598,EQ-002,normal,v1,normal,0
2423,EQ-003,normal,v1,bearing_degradation,1
3150,EQ-004,normal,v1,normal,0
4556,EQ-005,normal,v1,normal,0
1026,EQ-002,high_load,v1,normal,0
1928,EQ-002,normal,v1,normal,0
4350,EQ-005,normal,v1,normal,0
3178,EQ-004,normal,v1,pressure_leak,1
3598,EQ-004,normal,v1,normal,0
1129,EQ-002,normal,v1,normal,0
1255,EQ-002,normal,v1,bearing_degradation,1
3159,EQ-004,normal,v1,normal,0
1208,EQ-002,normal,v1,pressure_leak,1
3851,EQ-004,normal,v1,bearing_degradation,1
1531,EQ-002,normal,v1,normal,0
1395,EQ-002,normal,v1,normal,0
603,EQ-001,normal,v1,normal,0
4536,EQ-005,normal,v1,normal,0
123,EQ-001,high_load,v1,normal,0
1413,EQ-002,normal,v1,normal,0
3455,EQ-004,normal,v1,normal,0
4865,EQ-005,normal,v1,normal,0
841,EQ-001,normal,v1,normal,0
1921,EQ-002,normal,v1,normal,0
30,EQ-001,high_load,v1,normal,0
1519,EQ-002,normal,v1,normal,0
791,EQ-001,normal,v1,normal,0
4173,EQ-005,normal,v1,normal,0
2229,EQ-003,normal,v1,normal,0
693,EQ-001,normal,v1,normal,0
222,EQ-001,normal,v1,normal,0
2595,EQ-003,normal,v1,normal,0
4143,EQ-005,normal,v1,normal,0
3282,EQ-004,normal,v1,thermal_runaway,1
1580,EQ-002,normal,v1,normal,0
4671,EQ-005,normal,v1,normal,0
2085,EQ-003,normal,v1,normal,0
4887,EQ-005,normal,v1,normal,0
1188,EQ-002,normal,v1,sensor_malfunction,1
1509,EQ-002,normal,v1,normal,0
2944,EQ-004,cooldown,v1,normal,0
1588,EQ-002,normal,v1,normal,0
496,EQ-001,normal,v1,normal,0
3847,EQ-004,normal,v1,normal,0
2685,EQ-003,normal,v1,normal,0
2621,EQ-003,normal,v1,normal,0
3168,EQ-004,normal,v1,normal,0
397,EQ-001,normal,v1,normal,0
3604,EQ-004,normal,v1,normal,0
2871,EQ-003,normal,v1,normal,0
1590,EQ-002,normal,v1,normal,0
3436,EQ-004,normal,v1,normal,0
2653,EQ-003,normal,v1,normal,0
3694,EQ-004,normal,v1,normal,0
4245,EQ-005,normal,v1,normal,0
251,EQ-001,normal,v1,normal,0
3061,EQ-004,idle,v1,bearing_degradation,1
2207,EQ-003,normal,v1,normal,0
2479,EQ-003,normal,v1,normal,0
3337,EQ-004,normal,v1,normal,0
583,EQ-001,normal,v1,normal,0
998,EQ-002,high_load,v1,normal,0
3816,EQ-004,normal,v1,normal,0
1625,EQ-002,normal,v1,normal,0
421,EQ-001,normal,v1,sensor_malfunction,1
2276,EQ-003,normal,v1,bearing_degradation,1
4180,EQ-005,normal,v1,normal,0
2607,EQ-003,normal,v1,normal,0
249,EQ-001,normal,v1,normal,0
4400,EQ-005,normal,v1,normal,0
4106,EQ-005,normal,v1,bearing_degradation,1
661,EQ-001,normal,v1,normal,0
3,EQ-001,cooldown,v1,normal,0
3193,EQ-004,normal,v1,normal,0
156,EQ-001,normal,v1,normal,0
2344,EQ-003,normal,v1,normal,0
3899,EQ-004,normal,v1,thermal_runaway,1
210,EQ-001,normal,v1,bearing_degradation,1
347,EQ-001,normal,v1,normal,0
4233,EQ-005,normal,v1,normal,0
1502,EQ-002,normal,v1,normal,0
4566,EQ-005,normal,v1,normal,0
1637,EQ-002,normal,v1,normal,0
1864,EQ-002,normal,v1,normal,0
1018,EQ-002,high_load,v1,normal,0
3759,EQ-004,normal,v1,normal,0
3542,EQ-004,normal,v1,normal,0
3692,EQ-004,normal,v1,normal,0
1560,EQ-002,normal,v1,normal,0
277,EQ-001,normal,v1,normal,0
418,EQ-001,normal,v1,thermal_runaway,1
4411,EQ-005,normal,v1,normal,0
736,EQ-001,normal,v1,normal,0
925,EQ-001,normal,v1,normal,0
1102,EQ-002,normal,v1,thermal_runaway,1
1910,EQ-002,normal,v1,normal,0
1351,EQ-002,normal,v1,normal,0
1975,EQ-003,high_load,v1,normal,0
3050,EQ-004,high_load,v1,normal,0
4046,EQ-005,normal,v1,normal,0
1498,EQ-002,normal,v1,normal,0
2228,EQ-003,normal,v1,normal,0
4889,EQ-005,normal,v1,normal,0
3728,EQ-004,normal,v1,normal,0
3993,EQ-005,high_load,v1,normal,0
826,EQ-001,normal,v1,normal,0
828,EQ-001,normal,v1,normal,0
1174,EQ-002,normal,v1,normal,0
3712,EQ-004,normal,v1,bearing_degradation,1
1870,EQ-002,normal,v1,normal,0
1030,EQ-002,high_load,v1,normal,0
254,EQ-001,normal,v1,normal,0
3898,EQ-004,normal,v1,thermal_runaway,1
1557,EQ-002,normal,v1,normal,0
2499,EQ-003,normal,v1,normal,0
4782,EQ-005,normal,v1,normal,0
2747,EQ-003,normal,v1,normal,0
1667,EQ-002,normal,v1,normal,0
1813,EQ-002,normal,v1,normal,0
2854,EQ-003,normal,v1,normal,0
1193,EQ-002,normal,v1,normal,0
39,EQ-001,high_load,v1,normal,0
4442,EQ-005,normal,v1,normal,0
633,EQ-001,normal,v1,bearing_degradation,1
3253,EQ-004,normal,v1,normal,0
401,EQ-001,normal,v1,sensor_malfunction,1
2770,EQ-003,normal,v1,normal,0
3202,EQ-004,normal,v1,normal,0
3894,EQ-004,normal,v1,thermal_runaway,1
1842,EQ-002,normal,v1,normal,0
1554,EQ-002,normal,v1,normal,0
3369,EQ-004,normal,v1,normal,0
4587,EQ-005,normal,v1,bearing_degradation,1
3866,EQ-004,normal,v1,normal,0
4409,EQ-005,normal,v1,normal,0
3124,EQ-004,normal,v1,normal,0
159,EQ-001,normal,v1,normal,0
1435,EQ-002,normal,v1,normal,0
469,EQ-001,normal,v1,bearing_degradation,1
2592,EQ-003,normal,v1,normal,0
3377,EQ-004,normal,v1,normal,0
2010,EQ-003,high_load,v1,normal,0
2051,EQ-003,high_load,v1,normal,0
4595,EQ-005,normal,v1,pressure_leak,1
4419,EQ-005,normal,v1,normal,0
4550,EQ-005,normal,v1,normal,0
929,EQ-001,normal,v1,normal,0
3611,EQ-004,normal,v1,normal,0
2091,EQ-003,normal,v1,normal,0
2611,EQ-003,normal,v1,normal,0
3136,EQ-004,normal,v1,normal,0
2717,EQ-003,normal,v1,normal,0
514,EQ-001,normal,v1,normal,0
1056,EQ-002,high_load,v1,normal,0
1648,EQ-002,normal,v1,normal,0
2080,EQ-003,normal,v1,normal,0
4054,EQ-005,normal,v1,normal,0
43,EQ-001,high_load,v1,normal,0
3018,EQ-004,high_load,v1,normal,0
1915,EQ-002,normal,v1,normal,0
1083,EQ-002,normal,v1,normal,0
2178,EQ-003,normal,v1,normal,0
3120,EQ-004,normal,v1,normal,0
843,EQ-001,normal,v1,pressure_leak,1
959,EQ-001,normal,v1,normal,0
4870,EQ-005,normal,v1,normal,0
2366,EQ-003,normal,v1,normal,0
4615,EQ-005,normal,v1,normal,0
2052,EQ-003,high_load,v1,normal,0
1465,EQ-002,normal,v1,normal,0
2790,EQ-003,normal,v1,pressure_leak,1
2678,EQ-003,normal,v1,normal,0
2323,EQ-003,normal,v1,normal,0
1700,EQ-002,normal,v1,normal,0
1419,EQ-002,normal,v1,normal,0
1697,EQ-002,normal,v1,normal,0
3735,EQ-004,normal,v1,normal,0
2645,EQ-003,normal,v1,normal,0
4726,EQ-005,normal,v1,normal,0
1837,EQ-002,normal,v1,normal,0
4537,EQ-005,normal,v1,normal,0
4349,EQ-005,normal,v1,normal,0
2321,EQ-003,normal,v1,normal,0
179,EQ-001,normal,v1,normal,0
2879,EQ-003,normal,v1,normal,0
2883,EQ-003,normal,v1,normal,0
4658,EQ-005,normal,v1,normal,0
4509,EQ-005,normal,v1,normal,0
